contract_id,instrument_id,is_option,option_type,expiry_date,strike,root,multiplier,exchange_code
13bf8c8b-550b-5e0c-9990-9978ee0c18ac,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16800.0,/NQ,20.0,
1755b48b-3549-545b-87d5-bdc07a1797d7,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16600.0,/NQ,20.0,
fad2c8dd-7b67-53a8-a0ab-a68baffc2e5a,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16550.0,/NQ,20.0,
e8509f4f-24f5-5fca-b04b-125c5b1284f5,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16450.0,/NQ,20.0,
9b1b5be2-0aa7-5201-b2fc-b2c1e86b29a8,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16350.0,/NQ,20.0,
9a635814-3020-5937-8152-554347ab5df1,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16300.0,/NQ,20.0,
845b9d6e-7dea-54fd-b136-9235c53980c8,6e03808a-c3f7-5d17-8203-c886695246f8,True,CALL,2024-01-20,16450.0,/NQ,20.0,
a11687ad-74a3-5a8c-a5a4-db9229f546aa,6e03808a-c3f7-5d17-8203-c886695246f8,True,CALL,2024-01-20,16600.0,/NQ,20.0,
edf3f5b5-08bb-511d-9e06-c1d36e4f8f1a,6e03808a-c3f7-5d17-8203-c886695246f8,True,CALL,2024-01-20,16550.0,/NQ,20.0,
69b4ec2b-9a97-5694-8fff-9883bae9a3aa,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-01-20,16500.0,/NQ,20.0,
fb1ff13a-2015-57ab-8412-4722c7dfd8e8,6e03808a-c3f7-5d17-8203-c886695246f8,True,CALL,2024-01-20,16700.0,/NQ,20.0,
1073faa3-7b4a-554e-8ecf-38e75f0e635e,6e03808a-c3f7-5d17-8203-c886695246f8,True,CALL,2024-01-20,16720.0,/NQ,20.0,
